Customer [customerId=1, firstName=MARY, lastName=SMITH, phoneNumber=28303384290, active=1, createDate=2006-02-14]
Customer [customerId=2, firstName=PATRICIA, lastName=JOHNSON, phoneNumber=838635286649, active=1, createDate=2006-02-14]
Customer [customerId=3, firstName=LINDA, lastName=WILLIAMS, phoneNumber=448477190408, active=1, createDate=2006-02-14]
Customer [customerId=4, firstName=BARBARA, lastName=JONES, phoneNumber=705814003527, active=1, createDate=2006-02-14]
Customer [customerId=5, firstName=ELIZABETH, lastName=BROWN, phoneNumber=10655648674, active=1, createDate=2006-02-14]
Customer [customerId=6, firstName=JENNIFER, lastName=DAVIS, phoneNumber=860452626434, active=1, createDate=2006-02-14]
Customer [customerId=7, firstName=MARIA, lastName=MILLER, phoneNumber=716571220373, active=1, createDate=2006-02-14]
Customer [customerId=8, firstName=SUSAN, lastName=WILSON, phoneNumber=657282285970, active=1, createDate=2006-02-14]
Customer [customerId=9, firstName=MARGARET, lastName=MOORE, phoneNumber=380657522649, active=1, createDate=2006-02-14]
Customer [customerId=10, firstName=DOROTHY, lastName=TAYLOR, phoneNumber=648856936185, active=1, createDate=2006-02-14]
Customer [customerId=11, firstName=LISA, lastName=ANDERSON, phoneNumber=635297277345, active=1, createDate=2006-02-14]
Customer [customerId=12, firstName=NANCY, lastName=THOMAS, phoneNumber=465887807014, active=1, createDate=2006-02-14]
Customer [customerId=13, firstName=KAREN, lastName=JACKSON, phoneNumber=695479687538, active=1, createDate=2006-02-14]
Customer [customerId=14, firstName=BETTY, lastName=WHITE, phoneNumber=517338314235, active=1, createDate=2006-02-14]
Customer [customerId=15, firstName=HELEN, lastName=HARRIS, phoneNumber=990911107354, active=1, createDate=2006-02-14]
Customer [customerId=16, firstName=SANDRA, lastName=MARTIN, phoneNumber=949312333307, active=0, createDate=2006-02-14]
Customer [customerId=17, firstName=DONNA, lastName=THOMPSON, phoneNumber=407752414682, active=1, createDate=2006-02-14]
Customer [customerId=18, firstName=CAROL, lastName=GARCIA, phoneNumber=747791594069, active=1, createDate=2006-02-14]
Customer [customerId=19, firstName=RUTH, lastName=MARTINEZ, phoneNumber=272572357893, active=1, createDate=2006-02-14]
Customer [customerId=20, firstName=SHARON, lastName=ROBINSON, phoneNumber=144453869132, active=1, createDate=2006-02-14]
Customer [customerId=21, firstName=MICHELLE, lastName=CLARK, phoneNumber=892775750063, active=1, createDate=2006-02-14]
Customer [customerId=22, firstName=LAURA, lastName=RODRIGUEZ, phoneNumber=161968374323, active=1, createDate=2006-02-14]
Customer [customerId=23, firstName=SARAH, lastName=LEWIS, phoneNumber=902731229323, active=1, createDate=2006-02-14]
Customer [customerId=24, firstName=KIMBERLY, lastName=LEE, phoneNumber=934730187245, active=1, createDate=2006-02-14]
Customer [customerId=25, firstName=DEBORAH, lastName=WALKER, phoneNumber=196495945706, active=1, createDate=2006-02-14]
Customer [customerId=26, firstName=JESSICA, lastName=HALL, phoneNumber=998009777982, active=1, createDate=2006-02-14]
Customer [customerId=27, firstName=SHIRLEY, lastName=ALLEN, phoneNumber=665356572025, active=1, createDate=2006-02-14]
Customer [customerId=28, firstName=CYNTHIA, lastName=YOUNG, phoneNumber=678220867005, active=1, createDate=2006-02-14]
Customer [customerId=29, firstName=ANGELA, lastName=HERNANDEZ, phoneNumber=18461860151, active=1, createDate=2006-02-14]
Customer [customerId=30, firstName=MELISSA, lastName=KING, phoneNumber=525255540978, active=1, createDate=2006-02-14]
Customer [customerId=31, firstName=BRENDA, lastName=WRIGHT, phoneNumber=745994947458, active=1, createDate=2006-02-14]
Customer [customerId=32, firstName=AMY, lastName=LOPEZ, phoneNumber=627705991774, active=1, createDate=2006-02-14]
Customer [customerId=33, firstName=ANNA, lastName=HILL, phoneNumber=911872220378, active=1, createDate=2006-02-14]
Customer [customerId=34, firstName=REBECCA, lastName=SCOTT, phoneNumber=708403338270, active=1, createDate=2006-02-14]
Customer [customerId=35, firstName=VIRGINIA, lastName=GREEN, phoneNumber=440512153169, active=1, createDate=2006-02-14]
Customer [customerId=36, firstName=KATHLEEN, lastName=ADAMS, phoneNumber=481183273622, active=1, createDate=2006-02-14]
Customer [customerId=37, firstName=PAMELA, lastName=BAKER, phoneNumber=912257250465, active=1, createDate=2006-02-14]
Customer [customerId=38, firstName=MARTHA, lastName=GONZALEZ, phoneNumber=489783829737, active=1, createDate=2006-02-14]
Customer [customerId=39, firstName=DEBRA, lastName=NELSON, phoneNumber=378318851631, active=1, createDate=2006-02-14]
Customer [customerId=40, firstName=AMANDA, lastName=CARTER, phoneNumber=680768868518, active=1, createDate=2006-02-14]
Customer [customerId=41, firstName=STEPHANIE, lastName=MITCHELL, phoneNumber=42384721397, active=1, createDate=2006-02-14]
Customer [customerId=42, firstName=CAROLYN, lastName=PEREZ, phoneNumber=471675840679, active=1, createDate=2006-02-14]
Customer [customerId=43, firstName=CHRISTINE, lastName=ROBERTS, phoneNumber=539758313890, active=1, createDate=2006-02-14]
Customer [customerId=44, firstName=MARIE, lastName=TURNER, phoneNumber=177727722820, active=1, createDate=2006-02-14]
Customer [customerId=45, firstName=JANET, lastName=PHILLIPS, phoneNumber=675292816413, active=1, createDate=2006-02-14]
Customer [customerId=46, firstName=CATHERINE, lastName=CAMPBELL, phoneNumber=262076994845, active=1, createDate=2006-02-14]
Customer [customerId=47, firstName=FRANCES, lastName=PARKER, phoneNumber=69493378813, active=1, createDate=2006-02-14]
Customer [customerId=48, firstName=ANN, lastName=EVANS, phoneNumber=705800322606, active=1, createDate=2006-02-14]
Customer [customerId=49, firstName=JOYCE, lastName=EDWARDS, phoneNumber=876295323994, active=1, createDate=2006-02-14]
Customer [customerId=50, firstName=DIANE, lastName=COLLINS, phoneNumber=307703950263, active=1, createDate=2006-02-14]
Customer [customerId=51, firstName=ALICE, lastName=STEWART, phoneNumber=171822533480, active=1, createDate=2006-02-14]
Customer [customerId=52, firstName=JULIE, lastName=SANCHEZ, phoneNumber=680428310138, active=1, createDate=2006-02-14]
Customer [customerId=53, firstName=HEATHER, lastName=MORRIS, phoneNumber=697760867968, active=1, createDate=2006-02-14]
Customer [customerId=54, firstName=TERESA, lastName=ROGERS, phoneNumber=920811325222, active=1, createDate=2006-02-14]
Customer [customerId=55, firstName=DORIS, lastName=REED, phoneNumber=499352017190, active=1, createDate=2006-02-14]
Customer [customerId=56, firstName=GLORIA, lastName=COOK, phoneNumber=347487831378, active=1, createDate=2006-02-14]
Customer [customerId=57, firstName=EVELYN, lastName=MORGAN, phoneNumber=889318963672, active=1, createDate=2006-02-14]
Customer [customerId=58, firstName=JEAN, lastName=BELL, phoneNumber=212869228936, active=1, createDate=2006-02-14]
Customer [customerId=59, firstName=CHERYL, lastName=MURPHY, phoneNumber=800024380485, active=1, createDate=2006-02-14]
Customer [customerId=60, firstName=MILDRED, lastName=BAILEY, phoneNumber=250767749542, active=1, createDate=2006-02-14]
Customer [customerId=61, firstName=KATHERINE, lastName=RIVERA, phoneNumber=1395251317, active=1, createDate=2006-02-14]
Customer [customerId=62, firstName=JOAN, lastName=COOPER, phoneNumber=914090181665, active=1, createDate=2006-02-14]
Customer [customerId=63, firstName=ASHLEY, lastName=RICHARDSON, phoneNumber=491001136577, active=1, createDate=2006-02-14]
Customer [customerId=64, firstName=JUDITH, lastName=COX, phoneNumber=333489324603, active=0, createDate=2006-02-14]
Customer [customerId=65, firstName=ROSE, lastName=HOWARD, phoneNumber=409983924481, active=1, createDate=2006-02-14]
Customer [customerId=66, firstName=JANICE, lastName=WARD, phoneNumber=663449333709, active=1, createDate=2006-02-14]
Customer [customerId=67, firstName=KELLY, lastName=TORRES, phoneNumber=947233365992, active=1, createDate=2006-02-14]
Customer [customerId=68, firstName=NICOLE, lastName=PETERSON, phoneNumber=990214419142, active=1, createDate=2006-02-14]
Customer [customerId=69, firstName=JUDY, lastName=GRAY, phoneNumber=107137400143, active=1, createDate=2006-02-14]
Customer [customerId=70, firstName=CHRISTINA, lastName=RAMIREZ, phoneNumber=407733804223, active=1, createDate=2006-02-14]
Customer [customerId=71, firstName=KATHY, lastName=JAMES, phoneNumber=565018274456, active=1, createDate=2006-02-14]
Customer [customerId=72, firstName=THERESA, lastName=WATSON, phoneNumber=255800440636, active=1, createDate=2006-02-14]
Customer [customerId=73, firstName=BEVERLY, lastName=BROOKS, phoneNumber=427454485876, active=1, createDate=2006-02-14]
Customer [customerId=74, firstName=DENISE, lastName=KELLY, phoneNumber=241832790687, active=1, createDate=2006-02-14]
Customer [customerId=75, firstName=TAMMY, lastName=SANDERS, phoneNumber=251164340471, active=1, createDate=2006-02-14]
Customer [customerId=76, firstName=IRENE, lastName=PRICE, phoneNumber=896314772871, active=1, createDate=2006-02-14]
Customer [customerId=77, firstName=JANE, lastName=BENNETT, phoneNumber=918711376618, active=1, createDate=2006-02-14]
Customer [customerId=78, firstName=LORI, lastName=WOOD, phoneNumber=875756771675, active=1, createDate=2006-02-14]
Customer [customerId=79, firstName=RACHEL, lastName=BARNES, phoneNumber=18581624103, active=1, createDate=2006-02-14]
Customer [customerId=80, firstName=MARILYN, lastName=ROSS, phoneNumber=701457319790, active=1, createDate=2006-02-14]
Customer [customerId=81, firstName=ANDREA, lastName=HENDERSON, phoneNumber=223664661973, active=1, createDate=2006-02-14]
Customer [customerId=82, firstName=KATHRYN, lastName=COLEMAN, phoneNumber=821972242086, active=1, createDate=2006-02-14]
Customer [customerId=83, firstName=LOUISE, lastName=JENKINS, phoneNumber=800716535041, active=1, createDate=2006-02-14]
Customer [customerId=84, firstName=SARA, lastName=PERRY, phoneNumber=48417642933, active=1, createDate=2006-02-14]
Customer [customerId=85, firstName=ANNE, lastName=POWELL, phoneNumber=720998247660, active=1, createDate=2006-02-14]
Customer [customerId=86, firstName=JACQUELINE, lastName=LONG, phoneNumber=135117278909, active=1, createDate=2006-02-14]
Customer [customerId=87, firstName=WANDA, lastName=PATTERSON, phoneNumber=198123170793, active=1, createDate=2006-02-14]
Customer [customerId=88, firstName=BONNIE, lastName=HUGHES, phoneNumber=978987363654, active=1, createDate=2006-02-14]
Customer [customerId=89, firstName=JULIA, lastName=FLORES, phoneNumber=846225459260, active=1, createDate=2006-02-14]
Customer [customerId=90, firstName=RUBY, lastName=WASHINGTON, phoneNumber=991562402283, active=1, createDate=2006-02-14]
Customer [customerId=91, firstName=LOIS, lastName=BUTLER, phoneNumber=345679835036, active=1, createDate=2006-02-14]
Customer [customerId=92, firstName=TINA, lastName=SIMMONS, phoneNumber=132986892228, active=1, createDate=2006-02-14]
Customer [customerId=93, firstName=PHYLLIS, lastName=FOSTER, phoneNumber=275595571388, active=1, createDate=2006-02-14]
Customer [customerId=94, firstName=NORMA, lastName=GONZALES, phoneNumber=835433605312, active=1, createDate=2006-02-14]
Customer [customerId=95, firstName=PAULA, lastName=BRYANT, phoneNumber=4764773857, active=1, createDate=2006-02-14]
Customer [customerId=96, firstName=DIANA, lastName=ALEXANDER, phoneNumber=6171054059, active=1, createDate=2006-02-14]
Customer [customerId=97, firstName=ANNIE, lastName=RUSSELL, phoneNumber=817248913162, active=1, createDate=2006-02-14]
Customer [customerId=98, firstName=LILLIAN, lastName=GRIFFIN, phoneNumber=412903167998, active=1, createDate=2006-02-14]
Customer [customerId=99, firstName=EMILY, lastName=DIAZ, phoneNumber=333339908719, active=1, createDate=2006-02-14]
Customer [customerId=100, firstName=ROBIN, lastName=HAYES, phoneNumber=942570536750, active=1, createDate=2006-02-14]
Customer [customerId=101, firstName=PEGGY, lastName=MYERS, phoneNumber=196568435814, active=1, createDate=2006-02-14]
Customer [customerId=102, firstName=CRYSTAL, lastName=FORD, phoneNumber=709935135487, active=1, createDate=2006-02-14]
Customer [customerId=103, firstName=GLADYS, lastName=HAMILTON, phoneNumber=484292626944, active=1, createDate=2006-02-14]
Customer [customerId=104, firstName=RITA, lastName=GRAHAM, phoneNumber=449216226468, active=1, createDate=2006-02-14]
Customer [customerId=105, firstName=DAWN, lastName=SULLIVAN, phoneNumber=963887147572, active=1, createDate=2006-02-14]
Customer [customerId=106, firstName=CONNIE, lastName=WALLACE, phoneNumber=547003310357, active=1, createDate=2006-02-14]
Customer [customerId=107, firstName=FLORENCE, lastName=WOODS, phoneNumber=330838016880, active=1, createDate=2006-02-14]
Customer [customerId=108, firstName=TRACY, lastName=COLE, phoneNumber=371490777743, active=1, createDate=2006-02-14]
Customer [customerId=109, firstName=EDNA, lastName=WEST, phoneNumber=622255216127, active=1, createDate=2006-02-14]
Customer [customerId=110, firstName=TIFFANY, lastName=JORDAN, phoneNumber=379804592943, active=1, createDate=2006-02-14]
Customer [customerId=111, firstName=CARMEN, lastName=OWENS, phoneNumber=272234298332, active=1, createDate=2006-02-14]
Customer [customerId=112, firstName=ROSA, lastName=REYNOLDS, phoneNumber=824370924746, active=1, createDate=2006-02-14]
Customer [customerId=113, firstName=CINDY, lastName=FISHER, phoneNumber=358178933857, active=1, createDate=2006-02-14]
Customer [customerId=114, firstName=GRACE, lastName=ELLIS, phoneNumber=886636413768, active=1, createDate=2006-02-14]
Customer [customerId=115, firstName=WENDY, lastName=HARRISON, phoneNumber=867546627903, active=1, createDate=2006-02-14]
Customer [customerId=116, firstName=VICTORIA, lastName=GIBSON, phoneNumber=386759646229, active=1, createDate=2006-02-14]
Customer [customerId=117, firstName=EDITH, lastName=MCDONALD, phoneNumber=577812616052, active=1, createDate=2006-02-14]
Customer [customerId=118, firstName=KIM, lastName=CRUZ, phoneNumber=909029256431, active=1, createDate=2006-02-14]
Customer [customerId=119, firstName=SHERRY, lastName=MARSHALL, phoneNumber=787654415858, active=1, createDate=2006-02-14]
Customer [customerId=120, firstName=SYLVIA, lastName=ORTIZ, phoneNumber=765345144779, active=1, createDate=2006-02-14]
Customer [customerId=121, firstName=JOSEPHINE, lastName=GOMEZ, phoneNumber=665993880048, active=1, createDate=2006-02-14]
Customer [customerId=122, firstName=THELMA, lastName=MURRAY, phoneNumber=937222955822, active=1, createDate=2006-02-14]
Customer [customerId=123, firstName=SHANNON, lastName=FREEMAN, phoneNumber=677976133614, active=1, createDate=2006-02-14]
Customer [customerId=124, firstName=SHEILA, lastName=WELLS, phoneNumber=614935229095, active=0, createDate=2006-02-14]
Customer [customerId=125, firstName=ETHEL, lastName=WEBB, phoneNumber=490211944645, active=1, createDate=2006-02-14]
Customer [customerId=126, firstName=ELLEN, lastName=SIMPSON, phoneNumber=582835362905, active=1, createDate=2006-02-14]
Customer [customerId=127, firstName=ELAINE, lastName=STEVENS, phoneNumber=237426099212, active=1, createDate=2006-02-14]
Customer [customerId=128, firstName=MARJORIE, lastName=TUCKER, phoneNumber=973047364353, active=1, createDate=2006-02-14]
Customer [customerId=129, firstName=CARRIE, lastName=PORTER, phoneNumber=509492324775, active=1, createDate=2006-02-14]
Customer [customerId=130, firstName=CHARLOTTE, lastName=HUNTER, phoneNumber=935448624185, active=1, createDate=2006-02-14]
Customer [customerId=131, firstName=MONICA, lastName=HICKS, phoneNumber=252265130067, active=1, createDate=2006-02-14]
Customer [customerId=132, firstName=ESTHER, lastName=CRAWFORD, phoneNumber=707169393853, active=1, createDate=2006-02-14]
Customer [customerId=133, firstName=PAULINE, lastName=HENRY, phoneNumber=321944036800, active=1, createDate=2006-02-14]
Customer [customerId=134, firstName=EMMA, lastName=BOYD, phoneNumber=23712411567, active=1, createDate=2006-02-14]
Customer [customerId=135, firstName=JUANITA, lastName=MASON, phoneNumber=90921003005, active=1, createDate=2006-02-14]
Customer [customerId=136, firstName=ANITA, lastName=MORALES, phoneNumber=146497509724, active=1, createDate=2006-02-14]
Customer [customerId=137, firstName=RHONDA, lastName=KENNEDY, phoneNumber=963369996279, active=1, createDate=2006-02-14]
Customer [customerId=138, firstName=HAZEL, lastName=WARREN, phoneNumber=468060467018, active=1, createDate=2006-02-14]
Customer [customerId=139, firstName=AMBER, lastName=DIXON, phoneNumber=33173584456, active=1, createDate=2006-02-14]
Customer [customerId=140, firstName=EVA, lastName=RAMOS, phoneNumber=9099941466, active=1, createDate=2006-02-14]
Customer [customerId=141, firstName=DEBBIE, lastName=REYES, phoneNumber=581852137991, active=1, createDate=2006-02-14]
